EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
VERIZON COMMUNICATIONS INC;732712;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2016;0.352;;;;;;;;481000000;;;;-98000000;;;;;;;;;;;;;;481000000;;;;;;;
AT&T Inc.;732717;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2016;0.327;;;;;;6.93E+12;-353000000;377000000;;;;98000000;-400000000;416000000;;;;;;;;;;;;357000000;;;;;;;
CONTINENTAL RESOURCES  INC;732834;CRUDE PETROLEUM & TURAL GAS [1311];2016;;;;;-632454000;;-221359000;3094000;;-399679000;;;;;-18829000;-287534000;;;;;-396585000;1980273000;-232775000;;;-396585000;;-399679000;;-632454000;;;;
NUCOR CORP;73309;STEEL WORKS, BLAST FURCES  ROLLING MILLS (COKE OVENS) [3312];2016;0.3067;;793639000;;1298659000;;;33519000;104145000;796271000;;;38757000;;;;;;;;933935000;;398243000;;;829790000;104145000;900416000;;;;;;
TRANSCONTINENTAL REALTY INVESTORS INC;733590;REAL ESTATE INVESTMENT TRUSTS [6798];2016;;;-863000;;-18981000;;23000;;285000;37000;;;-26000;;;17647000;;;900000;-1000;37000;118471000;24000;;100824000;37000;285000;322000;;;;;;
CNB FINCIAL CORP/PA;736772;STATE COMMERCIAL BANKS [6022];2016;0.259;;20411000;;27711000;;9699000;;;20540000;;;;;;;;;;;18520000;94315000;7171000;;;18520000;;20540000;;;;;;
Washington Trust Bancorp Inc;737468;STATE COMMERCIAL BANKS [6022];2016;;364000;46384000;;68854000;;24099000;;;46481000;;;-354000;152000;1387000;;;;;;36423000;133470000;22373000;;;36423000;;46481000;;68854000;;;;
OCEANEERING INTERTIOL INC;73756;OIL, GAS FIELD SERVICES, NBC [1389];2016;0.433;;;;;;;-2301000;;;;;244000;;;70764000;;279227000;;;22285000;;18760000;;;;;24586000;;;;;;1330218000
FIRST KEYSTONE CORP;737875;STATE COMMERCIAL BANKS [6022];2016;0.163;;9472000;;11317000;;3848000;;;9472000;;;;159000;;;;;;;6018000;31643000;1845000;;;6018000;;9472000;;11317000;;;;
AEMETIS  INC.;738214;INDUSTRIAL ORGANIC CHEMICALS [2860];2016;-4.00E-04;24000;-15636000;;-15630000;;-5314000;;;-15636000;;;;;-775000;-781000;;11599000;;;-15845000;143158000;6000;;;-15845000;;-15636000;;-15630000;;;;131559000
CITIZENS FINCIAL SERVICES INC;739421;STATE COMMERCIAL BANKS [6022];2016;0.194;;12638000;;15672000;;5328000;;;12638000;;;;;;;;;;;11482000;43005000;3034000;;;11482000;;12638000;;15672000;;;;
VENTAS INC;740260;REAL ESTATE INVESTMENT TRUSTS [6798];2016;;;649231000;;518508000;;181478000;-49969000;2259000;;;2094000;4358000;;-1022000;;;;;-922000;601521000;;-31343000;;;599262000;2259000;651490000;-3582000;518508000;;;;
FIRST OF LONG ISLAND CORP;740663;TIOL COMMERCIAL BANKS [6021];2016;0.227;;30753000;;39929000;;;-9128000;;30880000;;;;;;;;;;;21752000;104123000;9049000;;;21752000;;30880000;;39929000;;;;
R F INDUSTRIES LTD;740664;ELECTRONIC CONNECTORS [3678];2016;;;;;-4683000;;-1592000;;;-4089000;;;;;-53000;-4688000;;8463000;;-58000;;30241000;-652000;;13151000;;;-4089000;;-4683000;;;;21778000
F&M BANK CORP;740806;STATE COMMERCIAL BANKS [6022];2016;;;9081000;;12861000;;4306709;;9083000;9762000;;;;;5882;;;;;;-485000;32095000;3099000;;;-485000;194000;9568000;;12861000;;;;
OLD POINT FINCIAL CORP;740971;TIOL COMMERCIAL BANKS [6021];2016;0.0404;;3797000;;3957000;;1345000;-1046000;;3797000;;;;62000;;;9906000;;;;2751000;43292000;160000;;39335000;2751000;;3797000;;3957000;;;;
OKLAHOMA GAS & ELECTRIC CO;74145;ELECTRIC SERVICES [4911];2016;0.287;;;;398500000;;;0;;284100000;;;;;;508900000;;;;;284100000;;114400000;;870200000;284100000;;284100000;;;;;;
AMERICAN TIOL BANKSHARES INC.;741516;TIOL COMMERCIAL BANKS [6021];2016;;;16301000;;23308000;;8158000;;;16301000;;;;;296000;;;;;;12137000;56170000;7007000;94000;;12137000;;16301000;;23308000;;;;
HOOPER HOLMES INC;741815;SERVICES-MISC HEALTH & ALLIED SERVICES, NEC [8090];2016;0;;-10324000;;-9919000;;;;;-10324000;;;;;;-7236000;;7855000;;-380000;;34271000;25000;;;;;-10324000;;-9919000;;;;26416000
INVACARE CORPORATION;742112;ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842];2016;0.45;;-42856000;;-29557000;;;-9948000;;-42856000;;;;;;-15215000;;283627000;;0;-52804000;1047474000;13299000;;;-52804000;;-42856000;;-29557000;;;;763847000
US ECOLOGY  INC.;742126;REFUSE SYSTEMS [4953];2016;0.381;;34252000;;55301000;;;;;;;;;;;70029000;;147595000;;;36593000;477665000;21049000;;;36593000;;34252000;;55301000;;;;
Old Republic Intertiol Corporation;74260;SURETY INSURANCE [6351];2016;0.319;;466900000;;686000000;;;;;466900000;;;;;;;;;;;761400000;;219000000;;;761400000;;466900000;;686000000;;;;
Olin Corporation;74303;CHEMICALS & ALLIED PRODUCTS [2800];2016;0.886;;-3900000;;-34200000;;;-17500000;;-3900000;;;1700000;;;152600000;10600000;;;0;-21400000;;-30300000;;;-21400000;;-3900000;4100000;;;;;
ARMSTRONG WORLD INDUSTRIES INC;7431;PLASTICS PRODUCTS, NEC [3089];2016;;;104700000;;144300000;;50500000;23600000;;104700000;;-3400000;73100000;2000000;3800000;184600000;;371200000;;10800000;128300000;1234500000;50400000;-2600000;;128300000;;104700000;;;;;;863300000
SPARTAN MOTORS INC;743238;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2016;0.0115;;;;8703000;;2959000;;;8610000;;;;;68000;8625000;;72528000;;;;590777000;100000;226000;63903000;;-7000;8603000;;;;;;518113000
BAR HARBOR BANKSHARES;743367;STATE COMMERCIAL BANKS [6022];2016;0.2824;;14933000;;20809000;;7283000;;;14933000;;;;;141000;;1374000;;;;6978000;;5876000;;;6978000;;14933000;;20809000;;;;
REX AMERICAN RESOURCES Corp;744187;INDUSTRIAL ORGANIC CHEMICALS [2860];2016;0.306;;32333000;;56911000;;;;;32333000;;;6144000;;;;;71039000;;;;453799000;17393000;;;;7185000;39518000;;;;;;382760000
Celldex Therapeutics  Inc.;744218;IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835];2016;;;-128530000;;;;-43700000;;;;139702000;150000;;;-7268000;-132916000;;;;;-128296000;6786000;;;;-128296000;;-128530000;;;;;;
AMERICAN SHARED HOSPITAL SERVICES;744825;SERVICES-MEDICAL LABORATORIES [8071];2016;;;930000;;3193000;;;;0;930000;;;;;169000;3286000;;8795000;;;930000;18700000;943000;42000;;930000;1320000;2250000;;3193000;;;;9905000
ST JOE CO;745308;LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES) [6552];2016;;;;;22611000;;8065000;3193000;;15895000;;;0;;806000;1960000;;;;;18657000;95744000;7147000;;93784000;;-431000;15464000;;22611000;;;;
ROSS STORES INC;745732;RETAIL-FAMILY CLOTHING STORES [5651];2016;0.37;;1117654000;;1786156000;;;;;1117654000;;;;;;;;;;;1117563000;;668502000;;;1117563000;;1117654000;;1786156000;;;;
MIDSOUTH BANCORP INC;745981;TIOL COMMERCIAL BANKS [6021];2016;;;6578000;;13296000;;4654000;;;9439000;;;;;;;;;2861000;;7920000;79128000;3857000;;;7920000;;9439000;;13296000;;;;
GLOWPOINT  INC.;746210;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2016;;;-3545000;;;;-1264000;;;-3533000;21303000;;;;-108000;-2085000;;;;;;19218000;-79000;;;;;-3533000;;;;;;
EXPEDITORS INTERTIOL OF WASHINGTON INC;746515;ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731];2016;;;430807000;;686856000;;240400000;-23743000;1337000;430807000;;;;535000;9759000;670163000;;;;;408790000;;254323000;;;407453000;1726000;432533000;;686856000;;;;
UNISYS CORP;746838;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2016;;0;-47700000;;20500000;;7200000;-246000000;-27500000;-47700000;;-21100000;;;;47600000;;558600000;;;-282700000;;57200000;;;-255200000;;-36700000;400000;20500000;;;;
NTN BUZZTIME INC;748592;TELEVISION BROADCASTING STATIONS [4833];2016;;;;;-2885000;;962000;;;-2923000;;2000;;;-29000;-2278000;;;;;-2872000;22312000;38000;;24590000;-2872000;;-2923000;;-2885000;;;;
GARTNER INC;749251;SERVICES-MAGEMENT SERVICES [8741];2016;0.329;;193582000;;288431000;;;-5281000;;193582000;2139399000;;;;;305141000;;;;;188301000;;94849000;;;188301000;;193582000;;288431000;;;;945648000
