EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
HENRY SCHEIN INC;1000228;WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047];2012;0.311;;388076000;;604188000;;211466000;31175000;36216000;388076000;;-17979000;7058000;;21665000;618961000;;;;;454563000;;187858000;;;418347000;35312000;423388000;;604188000;;;;
KENTUCKY BANCSHARES INC /KY/;1000232;STATE COMMERCIAL BANKS [6022];2012;0.19;;7007562;;8651235;;;;;;;;;;;;;;;;7521075;28232911;1643673;;;7521075;;7007562;;8651235;;;;
SCHWEITZER MAUDUIT INTERTIOL INC;1000623;PAPER MILLS [2621];2012;0.394;;78700000;;131600000;;46100000;9100000;;79800000;;-4100000;4000000;;;133400000;;250900000;;-3900000;88900000;;51900000;;87400000;88900000;;79800000;;131600000;;;;537200000
WATERS CORP /DE/;1000697;LABORATORY ALYTICAL INSTRUMENTS [3826];2012;0.054;;;;487625000;;170669000;;;;;-108893000;;;3639000;511490000;;1106027000;;;471103000;1843641000;26182000;;;;;461443000;;487625000;;;;235954000
WALT DISNEY CO/;1001039;CABLE & OTHER PAY TELEVISION SERVICES [4841];2013;0.31;;;;;;;2110000000;;;;;688000000;;;;;;;;;;;;;;500000000;;;;;;;
DISH Network CORP;1001082;CABLE & OTHER PAY TELEVISION SERVICES [4841];2012;0.329;;636687000;;;;;106760000;-10947000;;;;;;;1221835000;;;;;732500000;;307029000;;;743447000;-10947000;625740000;;;;;;1687327000
ESTEE LAUDER COMPANIES INC;1001250;PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS [2844];2013;0.306;;1019800000;;1475200000;;;56300000;4900000;1019800000;;;;;;1526000000;;;;;1080100000;;451400000;;;1075200000;4000000;1023800000;;1475200000;;;;2025900000
SOUTHERN COPPER CORP/;1001838;METAL MINING [1000];2012;0.363;;1934632000;;;;;;6736000;;;;;;;;;;;;1932526000;;1080872000;;;1925790000;6740000;1941372000;;;;;;
INTEVAC INC;1001902;SPECIAL INDUSTRY MACHINERY, NEC [3559];2012;-0.315;;-55319000;;-42079000;;-14728000;355000;;-55319000;;-428000;;367000;-15000;-42533000;;34158000;;;-54964000;83424000;13240000;;78898000;-54964000;;-55319000;;-42079000;;;;37932000
Nuance Communications  Inc.;1002517;SERVICES-PREPACKAGED SOFTWARE [7372];2013;-0.192;;-115238000;;-96680000;;-33838000;;;-115238000;;1086000;;;-3900000;48482000;;1088729000;;;-101395000;1957630000;18558000;1723000;1040247000;-101395000;;-115238000;;-96680000;;;;766550000
MSC INDUSTRIAL DIRECT CO INC;1003078;WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084];2013;0.379;;236214000;;383429000;;;;;237995000;;;;;;385526000;;1118516000;;;236011000;;145434000;;732990000;236011000;;237995000;;383429000;;;;1339133000
HEADWATERS INC;1003344;CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK [3272];2013;0.32;;;;12209000;;4273000;;;7137000;;;0;;1934000;54411000;;192482000;;-55000;;702576000;3924000;;138071000;;;7137000;;;;;;510094000
TYSON FOODS INC;100493;POULTRY SLAUGHTERING AND PROCESSING [2015];2013;0.326;17000000;778000000;27000000;1257000000;;;-45000000;0;778000000;;;;;;1375000000;;;;-70000000;733000000;;409000000;;;733000000;0;778000000;;;;;;
DIME COMMUNITY BANCSHARES INC;1005409;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;0.4002;;40124000;;67198000;;23519000;;;40308000;;;;-328000;4341000;;;;-184000;;40377000;195954000;26890000;;;40377000;;40308000;;67198000;;;;
TOYS R US INC;1005414;RETAIL-HOBBY, TOY & GAME SHOPS [5945];2012;0.576;;19000000;;92000000;;;-47000000;1000000;38000000;;;;;;556000000;;;;;-8000000;;53000000;;;-9000000;1000000;39000000;;92000000;;;;
UGI UTILITIES INC;100548;GAS & OTHER SERVICES COMBINED [4932];2013;0.403;;;;171010000;;;;;102098000;730393000;;;;;210319000;4828000;;;;123195000;940712000;68912000;;188266000;123195000;;102098000;;171010000;;;;
PURE BIOSCIENCE  INC.;1006028;MISCELLANEOUS CHEMICAL PRODUCTS [2890];2013;0;;;;;;;;;-7671000;;;;;;-7339000;;;;;;;;;8159000;;;-7671000;;;;;;565000
PRGX GLOBAL  INC.;1007330;SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MAGEMENT [8700];2012;0.194;;5392000;;6689000;;2274000;;;5392000;;486000;;131000;24000;7278000;;;;;5755000;208503000;1297000;;201225000;5755000;;5392000;;6689000;;;;134390000
UNION CARBIDE CORP /NEW/;100790;INDUSTRIAL ORGANIC CHEMICALS [2860];2012;-0.175;0;-114000000;;;;-3.40E+07;-213000000;;-114000000;;;59000000;-3000000;12000000;;-14000000;;;;-327000000;177000000;17000000;;;-327000000;;-114000000;9000000;;;;;
BROCADE COMMUNICATIONS SYSTEMS INC;1009626;COMPUTER COMMUNICATIONS EQUIPMENT [3576];2013;0.369;;;;330461000;;;;;208623000;;;0;;;308483000;;1408879000;;;205043000;;121838000;;1100396000;205043000;;208623000;;330461000;;;;813985000
JAKKS PACIFIC INC;1009829;GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES) [3944];2012;-4.62;;-104800000;;;;;;;-104800000;;;130000;;;-13222000;;197937000;;;-104874000;666762000;86151000;;;-104874000;;-104800000;;;;;;468825000
SIGA TECHNOLOGIES INC;1010086;PHARMACEUTICAL PREPARATIONS [2834];2012;0.351;;;;-22372306;;;;;-14528153;;;;;;-22535737;;;;;-14528153;;-7844153;;31506572;-14528153;;-14528153;;-22372306;;;;
PROVIDENT FINCIAL HOLDINGS INC;1010470;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.396;;25797000;;;;14950000;-72000;;25797000;;;;-292000;3002000;;;;;;25725000;44161000;16916000;63000;12461000;25725000;;25797000;;;;;;
KNOLL INC;1011570;MISCELLANEOUS FURNITURE & FIXTURES [2590];2012;0.362;;50001000;;78336000;;;;;;;;;;;87901000;;294350000;;;39624000;887499000;28335000;;;39624000;;50001000;;78336000;;;;593149000
GENESEE & WYOMING INC.;1012620;RAILROADS, LINE-HAUL OPERATING [4011];2012;0.556;;48058000;;83396000;;;9376000;;52433000;;;15557000;;;190322000;;;;-118000;61809000;874916000;46402000;;684594000;61809000;;52433000;;83396000;;;;
NORWOOD FINCIAL CORP;1013272;STATE COMMERCIAL BANKS [6022];2012;0.265;;8403000;;11439000;;;-518000;;8403000;;;;;;;;;;;7885000;29414000;3036000;;;7885000;;8403000;;11439000;;;;
ANSYS INC;1013462;SERVICES-PREPACKAGED SOFTWARE [7372];2012;0.307;;203483000;;293547000;;;;;203483000;;;;;;294253000;;658502000;;;200258000;798018000;90064000;;364249000;200258000;;203483000;;293547000;;;;139516000
BJs RESTAURANTS INC;1013488;RETAIL-EATING PLACES [5812];2012;0.264;;;;42656000;;;;;31409000;667460000;;;;;40865000;;;;;;;11247000;;;;;31409000;;42656000;;;;175636000
UMB FINCIAL CORP;101382;TIOL COMMERCIAL BANKS [6021];2012;0.279;1090000;122717000;;170224000;;59578000;;;122717000;;;;;2475000;;;;;;127206000;339685000;47507000;;;127206000;;122717000;;170224000;;;;
PEGASYSTEMS INC;1013857;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2012;0.293;;21868000;;30945000;;;1526000;;21868000;;;;;;31426000;;304330000;;;23394000;461710000;9077000;;272904000;23394000;;21868000;;30945000;;;;157380000
UNITED STATES ANTIMONY CORP;101538;PRIMARY SMELTING & REFINING OF NONFERROUS METALS [3330];2012;0.427;;-607185;;-391429;;;;;-558536;;;;;;-318687;;1034900;;;;12042702;167107;;1353587;;;-558536;;-391429;;;;11007802
E TRADE FINCIAL CORP;1015780;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;-0.14;;;;-130964000;;;;;-112583000;;;1292000;;;382774000;;;;;-35882000;;-18381000;;;-35882000;;-112583000;;;;;;
CARVER BANCORP INC;1016178;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.331;;662000;;45000;;337000;404000;;;;;;;49000;662000;;;;;1066000;23785000;328000;;;1066000;-945000;-283000;;;;;;
CARRIAGE SERVICES INC;1016281;SERVICES-PERSOL SERVICES [7200];2012;0.397;;11389000;;19249000;;6547000;;;11403000;;;;;689000;38417000;;61875000;;-204000;;204149000;7642000;;23458000;;;11389000;;19249000;;;;142274000
APRICUS BIOSCIENCES  INC.;1017491;PHARMACEUTICAL PREPARATIONS [2834];2012;0.02;;;;-25044000;;;;;-31771000;;;;;;-24894000;;3862000;;-6211000;-31130000;8416000;516000;;28756000;-31130000;;-31771000;;-25044000;;;;4230000
DOVER MOTORSPORTS INC;1017673;SERVICES-AMUSEMENT & RECREATION SERVICES [7900];2012;0.433;;4504000;;8062000;;;;;4571000;;;;;;9185000;;;;;4333000;46747000;3491000;;37562000;4333000;;4571000;;;;;;
Marathon Oil Corp;101778;CRUDE PETROLEUM & TURAL GAS [1311];2012;0.74;;1582000000;;;;;-63000000;;1582000000;;;370000000;;;;36000000;;;0;1519000000;;;;;;;1582000000;;;;;;
WILLIS LEASE FINCE CORP;1018164;WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES [5080];2012;0.43;;-3793000;;2696000;;916000;7661000;;1535000;147153000;;1759000;;185000;937000;;;;;9196000;148090000;1161000;;;9196000;;1535000;97000;;;;;
UNITED TECHNOLOGIES CORP /DE/;101829;AIRCRAFT ENGINES & ENGINE PARTS [3724];2012;0.248;;;;;;;44000000;-368000000;;;;;;;;;;;290000000;;;1711000000;;;;360000000;;;;;;;
ENTERPRISE BANCORP INC /MA/;1018399;STATE COMMERCIAL BANKS [6022];2012;0.339;;12375000;;18723000;;6366000;903000;;12375000;;;;;968000;;;;;;13278000;68405000;6348000;;;13278000;;12375000;;18723000;;;;
AMAZON COM INC;1018724;RETAIL-CATALOG & MAIL-ORDER HOUSES [5961];2012;0.786;;;;544000000;;;77000000;;-39000000;;;-155000000;;;676000000;;;;;38000000;;428000000;;;38000000;;-39000000;;544000000;;;;
ABERCROMBIE & FITCH CO /DE/;1018840;RETAIL-FAMILY CLOTHING STORES [5651];2012;0.354;;;;366945000;;;-19579000;;;;;;;;374233000;;;;0;217432000;;129934000;;;217432000;;237011000;;366945000;;;;1694096000
VIGANT CONSULTING INC;1019737;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2012;0.418;;46169000;;79355000;;;4057000;;46169000;;;;;;83858000;;;;;50226000;844641000;33186000;;;50226000;;46169000;;79355000;;;;596230000
UNIVERSAL CORP /VA/;102037;WHOLESALE-FARM PRODUCT RAW MATERIALS [5150];2013;0.32;;117900000;;207285000;;;5156000;8504000;132750000;;;5088000;;;223009000;0;;;;146075000;;66366000;;;137571000;8169000;140919000;;207285000;;;;1999282000
IRON MOUNTAIN INC;1020569;PUBLIC WAREHOUSING & STORAGE [4220];2012;0.385;;171708000;;298366000;;104428000;23186000;3795000;;;-30798000;;;6946000;557027000;;;;-8659000;198020000;;114873000;;;194225000;3126000;174834000;;298366000;;;;
FAMOUS DAVES OF AMERICA INC;1021270;RETAIL-EATING PLACES [5812];2012;0.156;;4360000;;;;;;;4360000;148775000;;;;;6213000;;;;;;154988000;805000;;38364000;;;4360000;;;;;;
QUEST DIAGNOSTICS INC;1022079;SERVICES-MEDICAL LABORATORIES [8071];2012;0.376;;;;;;;22387000;36413000;555721000;;;25625000;;;1200797000;;;;-74364000;614521000;;401897000;;;578108000;36413000;592134000;;;;;;
UNIVEST CORP OF PENNSYLVANIA;102212;STATE COMMERCIAL BANKS [6022];2012;0.21;;20872000;;26423000;;;-819000;;20872000;;;;;;;;;;;;80654000;5551000;;;;;20872000;;26423000;;;;
EPLUS INC;1022408;WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE [5045];2013;0.407;;34162000;;58745000;;20555000;;;34830000;924367000;;;;2894000;;;;;;-55000;983112000;23915000;;146028000;34775000;;34830000;;;;;;767447000
STEEL DYMICS INC;1022671;STEEL WORKS, BLAST FURCES  ROLLING MILLS (COKE OVENS) [3312];2012;0.303;;163551000;;204066000;;;;;;;;;;;391165000;;719898000;;;142281000;;61785000;;328733000;;-21270000;142281000;;;;;;
TESCO CORP;1022705;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2012;0.332;;;;74595000;;;;;49814000;;;;;;76795000;;;;;;553139000;24781000;;476344000;;;49814000;;74595000;;;;257561000
SIMULATIONS PLUS INC;1023459;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2013;0.322;;3141384;;4256780;;;;;2886598;;;;;;4072371;;8424240;;0;;10071;1370182;;4351869;;;2886598;;4256780;;;;1646530
PERNIX THERAPEUTICS HOLDINGS  INC.;1024126;PHARMACEUTICAL PREPARATIONS [2834];2012;0.21;;-1410156;;;;;;;-1410156;63001891;;;;;-1689332;;;;;475594;61312559;-373999;;;475594;;-1410156;;;;;;23376895
ROCKWELL AUTOMATION INC.;1024478;MEASURING & CONTROLLING DEVICES, NEC [3829];2013;0.229;;756300000;;980900000;;;407600000;;756300000;;;;;;;;;;0;1163900000;;224600000;;;1163900000;;756300000;;980900000;;;;451700000
WEST CORP;1024657;SERVICES-BUSINESS SERVICES, NEC [7389];2012;0.395;;125541000;;;;;;;125541000;;;;;;478175000;;1413565000;;;134446000;;82068000;;;;;125541000;;;;;;1224459000
FEDERAL HOME LOAN MORTGAGE CORP;1026214;FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111];2012;-0.163;536000000;-2074000000;;;;3.31E+12;;0;;;;;;;;;;;;;;-1537000000;;;;0;;-1205000000;;;;;
VALMONT INDUSTRIES INC;102729;FABRICATED STRUCTURAL METAL PRODUCTS [3440];2012;0.352;;234072000;;359290000;;;;6079000;;;;6128000;;;382296000;;802456000;;;220037000;;126502000;;;213958000;4844000;238916000;;359290000;;;;
VALSPAR CORP;102741;PAINTS, VARNISHES, LACQUERS, EMELS & ALLIED PRODUCTS [2851];2013;0.317;;;;423795000;;;;;289255000;;;;;;492424000;;1358058000;;;292402000;;134540000;;865634000;292402000;;289255000;;423795000;;;;
CHICAGO BRIDGE & IRON CO N V;1027884;CONSTRUCTION SPECIAL TRADE CONTRACTORS [1700];2012;0.286;;301655000;;444066000;;;;;301655000;;;17931000;;-3659000;455643000;;698707000;;;279965000;;127003000;;;261775000;15408000;317063000;2205000;;;;;
GULFMARK OFFSHORE INC;1030749;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2012;0.122;;19231000;;21942000;;;;;19273000;338200000;;;;;51005000;;;;;48043000;;2669000;;;48043000;;19273000;;21942000;;;;
TRC COMPANIES INC /DE/;103096;HAZARDOUS WASTE MAGEMENT [4955];2013;-0.983;;36275000;;18224000;;;75000;65000;36275000;306595000;;0;;;18561000;;;;;36285000;320403000;-17986000;;;36220000;-65000;36210000;;18224000;;;;268545000
StarTek  Inc.;1031029;SERVICES-HELP SUPPLY SERVICES [7363];2012;-0.011;;-10488000;;-10372000;;;-9461000;;-10488000;;;;;;-10714000;;22997000;;;1027000;198092000;116000;;;1027000;;-10488000;;-10372000;;;;175095000
GROUP 1 AUTOMOTIVE INC;1031203;RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500];2012;0.377;;94940000;;160735000;;56257000;-3821000;;100209000;;-854000;;;3455000;229996000;;1117252000;;;96388000;;60526000;;;;;100209000;;160735000;;;;
GULF ISLAND FABRICATION INC;1031623;FABRICATED STRUCTURAL METAL PRODUCTS [3440];2012;0.243;;-4137000;;-5405000;;-1892000;;;-4091000;;;;-205000;783000;-5966000;;3840000;;;;521340000;-1314000;;;;;-4091000;;-5405000;;;;517500000
SLM CORPORATION;1032033;PERSOL CREDIT INSTITUTIONS [6141];2012;0.346;;919000000;;1433000000;;;8000000;-2000000;939000000;;;;;;;;;;1000000;945000000;;497000000;;996000000;;-2000000;937000000;;1433000000;;;;
Sempra Energy;1032208;ELECTRIC & OTHER SERVICES COMBINED [4931];2012;0.06;;;;943000000;;;117000000;;859000000;;;-7000000;;;;;;6000000;;1037000000;;59000000;;;;55000000;920000000;;943000000;;;;
Luminex Corp;1033905;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2012;0.455;;12407000;;22780000;;;;;12407000;;;;;;22716000;;142574000;;;12524000;202582000;10373000;;119858000;12524000;;12407000;;22780000;;;;60008000
ICAHN ENTERPRISES L.P.\n;813762;PETROLEUM REFINING [2911];2012;-0.125;;396000000;;646000000;;;-127000000;302000000;396000000;;;;;;;;;;0;600000000;;-81000000;;;298000000;331000000;727000000;;;;;;
BAY BANKS OF VIRGINIA INC;1034594;STATE COMMERCIAL BANKS [6022];2012;0.232;;697762;;908234;;;-826065;;697762;;;;;;;;;;;-128303;13890802;210472;;;-128303;;697762;;908234;;;;
AUTOLIV INC;1034670;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2012;0.274;;483100000;;668600000;;;2000000;-2700000;483100000;;;8100000;;;705400000;;1646200000;;;487600000;;183000000;;;484900000;2500000;485600000;;668600000;;;;
SOUTH JERSEY GAS Co;1035216;TURAL GAS TRANSMISSION & DISTRIBUTION [4923];2012;0.41;;;;91952000;;32183000;-1156000;;;320112000;;;-1412000;5302000;101762000;;;;;57085000;421874000;33711000;;;57085000;;58241000;;91952000;;;;188710000
SELECT MEDICAL HOLDINGS CORP;1320414;SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC [8093];2012;0.368;;145716000;;243550000;;;;;148230000;;;7705000;;;336859000;;;;;151948000;;89657000;;;148230000;5663000;153893000;;;;;;
DOMINION RESOURCES INC /VA/;715957;ELECTRIC SERVICES [4911];2012;0.293;;;;497000000;;;-267000000;27000000;302000000;;;25000000;;;1156000000;;;;-22000000;62000000;;146000000;;;35000000;27000000;329000000;;497000000;;;;
AMETEK INC/;1037868;MOTORS & GENERATORS [3621];2012;0.307;;459132000;;662475000;;;;;459132000;;;;;;745872000;;;;;465065000;;203343000;;;465065000;;459132000;;662475000;;;;
JONES LANG LASALLE INC;1037976;REAL ESTATE AGENTS & MAGERS (FOR OTHERS) [6531];2012;0.249;;207556000;;278087000;;97331000;;;208050000;;-33540000;23857000;;2753000;289403000;;;;;250753000;;69244000;;;250753000;793000;208843000;-5861000;;;;;
SILICON LABORATORIES INC;1038074;SEMICONDUCTORS & RELATED DEVICES [3674];2012;0.264;;63548000;;86348000;;;;;;;;;;;85675000;;338017000;;;65069000;563294000;22800000;;252342000;65069000;;63548000;;86348000;;;;225277000
Reis  Inc.;1038222;SERVICES-BUSINESS SERVICES, NEC [7389];2012;-0.5589;;;;2586330;;-3399000;;;-4283582;;;;;-96000;;;24611713;;-12296912;;;-5427000;5000;21921912;;;-4283582;;;;;;
Pioneer tural Resources Company;1038357;CRUDE PETROLEUM & TURAL GAS [1311];2012;0.4;;189256000;;280057000;;-80332000;3130000;50537000;192285000;;;2183000;;-5214000;;;;;55149000;245952000;;92384000;;;195415000;50537000;242822000;;280057000;;;;
OSI SYSTEMS INC;1039065;SEMICONDUCTORS & RELATED DEVICES [3674];2013;0.364;;44135000;;69414000;;;;;;;;100000;;;74438000;;290426000;;;42087000;802047000;25279000;;215988000;42087000;;44135000;;69414000;;;;114560000
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO;1039828;LIFE INSURANCE [6311];2012;0.328;;57798000;;85989000;;30096000;;;57798000;;;;-29000;;;;;;;287376000;1588558000;28191000;;;287376000;;57798000;;85989000;;;;
Pixelworks  Inc.;1040161;SEMICONDUCTORS & RELATED DEVICES [3674];2012;0.09;;;;-6265000;;;;;-5694000;;;;;;-5853000;;29848000;;;-5740000;59710000;-571000;;35701000;-5740000;;-5694000;;-6265000;;;;29862000
SYNTEL INC;1040426;SERVICES-COMPUTER PROGRAMMING SERVICES [7371];2012;0.227;;185543000;;239928000;;;13700000;;185543000;;;;;;211940000;;314984000;;;171844000;723903000;54385000;;;171844000;;185543000;;239928000;;;;408919000
AEHR TEST SYSTEMS;1040470;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2013;-0.009;;-3419000;;-3389000;;;;0;-3419000;;;;;;-3307000;;6776000;;;-3433000;16488000;30000;;10083000;-3433000;0;-3419000;;;;;;9712000
Ryman Hospitality Properties  Inc.;1040829;REAL ESTATE INVESTMENT TRUSTS [6798];2012;0.07;;;;-28669000;;;11428000;;-26644000;570905000;;109000;;;-4754000;;;;-9000;-15216000;986594000;-2034000;;;-15216000;;-26644000;;;;;;
NET 1 UEPS TECHNOLOGIES INC;1041514;FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC [6099];2013;0.5373;;12977000;;27279000;;;-25136000;-3000;12977000;;;351000;;;23162000;;;;4000000;-12162000;452147000;14656000;;;-12159000;-3000;12974000;;27279000;;;;196834000
HOPFED BANCORP INC;1041550;STATE COMMERCIAL BANKS [6022];2012;0.167;220000;2840000;;4886000;;1661000;2357000;;;;;;;79000;;;;1229246;;6426000;40840000;817000;72000;;6426000;;4069000;;4886000;;;;
PRICESMART INC;1041803;RETAIL-VARIETY STORES [5331];2013;0.316;;82485000;;123211000;;;-8293000;;84265000;;;-4000;;;127935000;;;;0;75972000;;38942000;;;;;84265000;;123211000;;;;1929428000
DISH DBS CORP;1042642;COMMUNICATION SERVICES, NEC [4899];2012;0.371;;484266000;;;;;;;;;;;;;1392935000;;;;;491796000;;285926000;;;491796000;;484266000;;;;;;1660685000
CENTERPOINT ENERGY RESOURCES CORP;1042773;ELECTRIC SERVICES [4911];2012;0.642;;137000000;168000000;383000000;;1.34E+08;;;137000000;;;31000000;0;31000000;394000000;;;;;143000000;;246000000;;;143000000;;137000000;;383000000;;;;
DRIL-QUIP INC;1042893;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2012;0.264;;119209000;;162122000;;;123822000;;119209000;571339000;;;;;161692000;;;;;123822000;733031000;42913000;;;123822000;;119209000;;162122000;;;;451666000
ANLY CAPITAL MAGEMENT INC;1043219;REAL ESTATE INVESTMENT TRUSTS [6798];2012;0.51;;1696370000;;1771812000;;;;;1735900000;;;;;;;;;39530000;;1780154000;;35912000;;;1780154000;;1735900000;;1771812000;;;;
C H ROBINSON WORLDWIDE INC;1043277;ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731];2012;0.38;;593804000;;958462000;;;-230000;;593804000;;;;;;675320000;;;;;593574000;;364658000;;;593574000;;593804000;;958462000;;;;1483745000
BAXTER INTERTIOL INC;10456;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2012;0.2;;;;;;1.01E+12;-219000000;;;;-1.50E+07;-1000000;;-11000000;;;;;;2107000000;;563000000;;;2107000000;;;30000000;;;;;
NVIDIA CORP;1045810;SEMICONDUCTORS & RELATED DEVICES [3674];2013;0.15;;562536000;;662039000;;231714000;;;562536000;;123626000;;;1048000;648239000;;;;;561903000;;99503000;;1578104000;561903000;;562536000;;662039000;;;;2053816000
Ingredion Inc;1046257;GRAIN MILL PRODUCTS [2040];2012;0.2778;;428000000;;601000000;;;;6000000;;;;;;;668000000;;1238000000;;;372000000;;167000000;;570000000;366000000;6000000;434000000;;;;;;
CHOICE HOTELS INTERTIOL INC /DE;1046311;HOTELS & MOTELS [7011];2012;0.287;;;;169168000;;;;;120687000;498367000;;212000;;;193142000;;;;;123272000;691509000;48481000;;;;;120687000;;;;;;
EMAGIN CORP;1046995;SEMICONDUCTORS & RELATED DEVICES [3674];2012;-0.37;;1497000;;1637000;;;;;2252000;;;;;;1623000;;14945000;755000;;;30560000;-615000;;13322000;;;2252000;;1637000;;;;15615000
RAYTHEON CO/;1047122;SEARCH, DETECTION, VIGATION, GUIDANCE, AEROUTICAL SYS [3812];2012;0.316;;;;;;;-787000000;12000000;1888000000;;;;;;;;;;-1000000;1113000000;;878000000;;;1101000000;12000000;1900000000;;;;;;
CONSOLIDATED EDISON INC;1047862;ELECTRIC & OTHER SERVICES COMBINED [4931];2012;0.34;;1138000000;610000000;1741000000;;;5000000;;1141000000;;;;;;;;;;;1146000000;;600000000;;;1146000000;;1141000000;;1741000000;;;;
MARRIOTT INTERTIOL INC /MD/;1048286;HOTELS & MOTELS [7011];2012;0.327;;571000000;;849000000;;;;;571000000;;;-13000000;;;940000000;;;;;575000000;;278000000;;;575000000;;571000000;;;;;;
FedEx Corporation;1048911;AIR COURIER SERVICES [4513];2013;0.364;;1558000000;;;;;1133000000;;1561000000;;;;;;;;;;;;;894000000;;;;;1561000000;;;;;;
MKS INSTRUMENTS INC;1049502;INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL [3823];2012;0.361;;48029000;;75136000;;;1845000;;48029000;;;;;;74223000;;269479000;;;49874000;643508000;27107000;;;49874000;;48029000;;75136000;;;;63544000
MERCURY SYSTEMS INC;1049521;ELECTRONIC COMPONENTS & ACCESSORIES [3670];2013;-0.431;;-13208000;;-23162000;;;;;-13208000;;;;;;-23689000;;82668000;;;-13552000;208791000;-9954000;;106357000;-13552000;;-13208000;;-23162000;;;;126123000
BROOKLINE BANCORP INC;1049782;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;0.357;;37142000;;59710000;;20899000;;1227000;;;;;;3506000;;;;;;39889000;213200000;21341000;617000;;38662000;1227000;38369000;;59710000;;;;
WATSCO INC;105016;WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES [5070];2012;0.284;;85678000;;220243000;;;-1750000;54267000;103334000;;;;;;224908000;;814395000;;;155851000;;62642000;;;101584000;54267000;157601000;;220243000;;;;
MICROSTRATEGY INC;1050446;SERVICES-PREPACKAGED SOFTWARE [7372];2012;0.297;;;;29231000;;;537000;;20546000;;;;;;30153000;;441814000;;;21083000;594606000;8685000;;411661000;21083000;;20546000;;29231000;;;;152792000
COLUMBIA SPORTSWEAR CO;1050797;APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL [2300];2012;0.254;;99859000;;133907000;;;-234000;;99859000;;;;;;133528000;;716394000;;;99625000;;34048000;;;99625000;;99859000;;133907000;;;;953169000
COMMUNITY WEST BANCSHARES /;1051343;STATE COMMERCIAL BANKS [6022];2012;0;;2127000;;3173000;;;-104000;;3173000;;;0;;;;;;;;3069000;31309000;0;;;3069000;;3173000;;3173000;;;;
TELEPHONE & DATA SYSTEMS INC /DE/;1051512;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2012;0.375;;81811000;;196235000;;68700000;722000;40792000;81861000;;;92867000;;8400000;183863000;;;;;123375000;;73582000;;;82583000;40792000;122653000;;;;;;
